Target ID,Target Name,Priority Number,High Priority Start Date,High Priority End Date,Site Center WKT,Site Shape WKT,Number of Desired Observations,Mode,Swath Scale,Scan Direction,Glint Check,Rotate Target,Ascending Centroid WKT,Ascending Polygon WKT,Ascending Along,Ascending Across,Descending Centroid WKT,Descending Polygon WKT,Descending Along,Descending Across
ecostress_kr_gck,ecostress_kr_gck,339,,,POINT(127.162222 37.748333),"POLYGON((126.9358373280877 37.56791956456009,126.9347368223199 37.92830398497345,127.3897071776801 37.92830398497345,127.3886066719124 37.56791956456009,126.9358373280877 37.56791956456009))",1,Area Mapping Mode,1,0,1,1,POINT(127.166542 37.751249),"POLYGON((126.96331 37.317802,126.594002 37.658199,127.372169 38.184341,127.740501 37.841522,126.96331 37.317802))",90,50,POINT(127.166542 37.745416),"POLYGON((126.592636 37.835716,126.96096 38.178516,127.739029 37.65234,127.369728 37.311962,126.592636 37.835716))",90,50
ecostress_ne_waf,ecostress_ne_waf,287,,,POINT(2.63368891 13.64758138),"POLYGON((2.448979930520807 13.46673942215339,2.448698507646924 13.82828310073302,2.818679312353055 13.82828310073302,2.818397889479172 13.46673942215339,2.448979930520807 13.46673942215339))",1,Area Mapping Mode,1,0,1,1,POINT(2.636444 13.651188),"POLYGON((2.574183 13.192735,2.203275 13.460085,2.698947 14.109626,3.070314 13.841539,2.574183 13.192735))",90,50,POINT(2.636444 13.643975),"POLYGON((2.202576 13.834301,2.573914 14.102409,3.069612 13.452897,2.698732 13.185525,2.202576 13.834301))",90,50
ecostress_npbb,ecostress_npbb,351,,,POINT(-2.388 54.69600000000001),"POLYGON((-2.696822943604332 54.5159374432892,-2.699563883799527 54.87526338172765,-2.076436116200483 54.87526338172765,-2.079177056395679 54.5159374432892,-2.696822943604332 54.5159374432892))",8,Area Mapping Mode,1,0,1,1,POINT(-2.370228 54.706034),"POLYGON((-3.062844 54.476415,-3.076471 54.925501,-1.669797 54.931658,-1.671654 54.482507,-3.062844 54.476415))",90,50,POINT(-2.370228 54.705966),"POLYGON((-3.068792 54.482427,-3.070667 54.931581,-1.663995 54.925443,-1.677603 54.476358,-3.068792 54.482427))",90,50
ecostress_nz_bfm,ecostress_nz_bfm,304,,,POINT(171.928 -43.593),"POLYGON((171.6795885558382 -43.77273823989805,171.6810649782595 -43.41271951829628,172.1749350217405 -43.41271951829628,172.1764114441618 -43.77273823989805,171.6795885558382 -43.77273823989805))",2,Area Mapping Mode,1,0,1,1,POINT(171.933208 -43.590562),"POLYGON((171.630692 -43.998192,171.295837 -43.619579,172.231659 -43.182144,172.569931 -43.558006,171.630692 -43.998192))",90,50,POINT(171.933209 -43.595438),"POLYGON((171.296417 -43.563038,171.634552 -43.187092,172.570648 -43.624302,172.235947 -44.002995,171.296417 -43.563038))",90,50
ecostress_nz_kop,ecostress_nz_kop,303,,,POINT(175.554 -37.38800000000001),"POLYGON((175.3276151305306 -37.56798484061121,175.3286962093823 -37.20757834087424,175.7793037906177 -37.20757834087424,175.7803848694693 -37.56798484061121,175.3276151305306 -37.56798484061121))",1,Area Mapping Mode,1,0,1,1,POINT(175.558275 -37.385061),"POLYGON((175.357254 -37.819206,174.987885 -37.478313,175.756973 -36.950577,176.127228 -37.289074,175.357254 -37.819206))",90,50,POINT(175.558276 -37.390938),"POLYGON((174.989273 -37.294964,175.359543 -36.956459,176.128723 -37.484177,175.759323 -37.825081,174.989273 -37.294964))",90,50
ecostress_nz_oxf,ecostress_nz_oxf,302,,,POINT(172.2108 -43.2619),"POLYGON((171.9637473390074 -43.44165178961836,171.9651988652113 -43.08161210553905,172.4564011347887 -43.08161210553905,172.4578526609926 -43.44165178961836,171.9637473390074 -43.44165178961836))",2,Area Mapping Mode,1,0,1,1,POINT(172.215948 -43.259427),"POLYGON((171.92041 -43.669106,171.582443 -43.292809,172.507523 -42.848995,172.848724 -43.222553,171.92041 -43.669106))",90,50,POINT(172.215949 -43.264373),"POLYGON((171.583115 -43.227547,171.924286 -42.853966,172.849518 -43.297707,172.511566 -43.67403,171.583115 -43.227547))",90,50
ecostress_nz_sco,ecostress_nz_sco,301,,,POINT(175.22 -37.46),"POLYGON((174.9933968421212 -37.63998207711102,174.9944817734992 -37.27957998323197,175.4455182265009 -37.27957998323197,175.4466031578789 -37.63998207711102,174.9933968421212 -37.63998207711102))",2,Area Mapping Mode,1,0,1,1,POINT(175.224284 -37.457066),"POLYGON((175.022385 -37.89101,174.653198 -37.549751,175.423859 -37.022781,175.79393 -37.361641,175.022385 -37.89101))",90,50,POINT(175.224284 -37.462934),"POLYGON((174.654587 -37.367504,175.024704 -37.028645,175.79541 -37.555622,175.426193 -37.896881,174.654587 -37.367504))",90,50
ecostress_sleg,ecostress_sleg,348,,,POINT(-2.828505 51.207282),"POLYGON((-3.113581886231742 51.02715985670034,-3.115810204984768 51.38669870356617,-2.541199795015245 51.38669870356617,-2.543428113768272 51.02715985670034,-3.113581886231742 51.02715985670034))",3,Area Mapping Mode,1,0,1,1,POINT(-2.821437 51.208036),"POLYGON((-3.3937 50.917347,-3.520035 51.359447,-2.241939 51.495899,-2.12748 51.05249,-3.3937 50.917347))",90,50,POINT(-2.821438 51.206527),"POLYGON((-3.515388 51.05101,-3.400888 51.494415,-2.122849 51.357914,-2.249223 50.915813,-3.515388 51.05101))",90,50
ecostress_ssh_czo_cal,ecostress_ssh_czo_cal,357,,,POINT(-81.72247 34.60811),"POLYGON((-81.94005238561328 34.4276254628511,-81.94099502582979 34.7881995017363,-81.50394497417021 34.7881995017363,-81.50488761438672 34.4276254628511,-81.94005238561328 34.4276254628511))",1,Area Mapping Mode,1,0,1,1,POINT(-81.718507 34.611198),"POLYGON((-81.886726 34.17009,-82.262032 34.49519,-81.548485 35.052074,-81.173477 34.724789,-81.886726 34.17009))",90,50,POINT(-81.718507 34.605022),"POLYGON((-82.263496 34.718624,-81.888504 35.045902,-81.175026 34.489006,-81.550308 34.16391,-82.263496 34.718624))",90,50
ecostress_ssh_czo_shale,ecostress_ssh_czo_shale,323,,,POINT(-77.904076 40.66573),"POLYGON((-78.13996383995949 40.48538328082554,-78.14123635033549 40.84558659075418,-77.6669156496645 40.84558659075418,-77.6681881600405 40.48538328082554,-78.13996383995949 40.48538328082554))",4,Area Mapping Mode,1,0,1,1,POINT(-77.899354 40.66844),"POLYGON((-78.144119 40.245163,-78.502411 40.602016,-77.651466 41.09119,-77.29512 40.73172,-78.144119 40.245163))",90,50,POINT(-77.899354 40.663019),"POLYGON((-78.50351 40.72644,-78.147049 41.085827,-77.296371 40.596458,-77.654778 40.239685,-78.50351 40.72644))",90,50
